collected_at,source,rank,movie_name_ko,movie_name_en,reservation_rate,reservation_audience,reservation_sales,raw_text
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,1,군체,,32.4%,110867,,"32.4% (누적:110,867명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,2,와일드 씽,,19.7%,67226,,"19.7% (누적:67,226명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,3,백룸,,8.6%,29473,,"8.6% (누적:29,473명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,4,디스클로저 데이,,6.1%,20843,,"6.1% (누적:20,843명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,5,만달로리안과 그로구,,4.1%,13973,,"4.1% (누적:13,973명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,6,마이클,,3.3%,11311,,"3.3% (누적:11,311명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,7,플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,,3.0%,10429,,"3.0% (누적:10,429명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,8,마스터즈 오브 유니버스,,3.0%,10348,,"3.0% (누적:10,348명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,9,이상한 과자 가게 전천당,,1.7%,5947,,"1.7% (누적:5,947명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,10,신사: 악귀의 속삭임,,1.7%,5872,,"1.7% (누적:5,872명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,11,상자 속의 양,,1.4%,4955,,"1.4% (누적:4,955명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,12,노트북,,1.3%,4602,,"1.3% (누적:4,602명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,13,너바나 더 밴드 : 전설적 밴드 ‘너바나’와는 별 관련 없는 ‘너바나 더 밴드’의 콤비 맷과 제이. 어느 날 공연을 위해 타임머신을 만드는 황당한 작전을 세우고 처음 만났던 17년 전으로 돌,,1.1%,3849,,"1.1% (누적:3,849명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,14,순례자들은 왜 돌아오지 않는가,,0.7%,2306,,"0.7% (누적:2,306명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,15,뒷자리에 태워줘,,0.7%,2273,,"0.7% (누적:2,273명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,16,돌핀보이: 푸른 바다의 수호자,,0.6%,2038,,"0.6% (누적:2,038명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,17,너만 보이는 날,,0.5%,1847,,"0.5% (누적:1,847명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,18,극장판 내 마음의 위험한 녀석,,0.5%,1754,,"0.5% (누적:1,754명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,19,납치 48시간,,0.4%,1371,,"0.4% (누적:1,371명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,20,다윗,,0.4%,1267,,"0.4% (누적:1,267명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,21,신극장판 은혼: 요시와라 대염상,,0.4%,1253,,"0.4% (누적:1,253명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,22,파이널 피스,,0.4%,1228,,"0.4% (누적:1,228명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,23,고독의 오후,,0.3%,1180,,"0.3% (누적:1,180명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,24,슈퍼 마리오 갤럭시,,0.3%,1164,,"0.3% (누적:1,164명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,25,콜럼버스,,0.3%,1128,,"0.3% (누적:1,128명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,26,카드캡터 체리 극장판,,0.3%,1122,,"0.3% (누적:1,122명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,27,싱 스트리트,,0.3%,1102,,"0.3% (누적:1,102명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,28,유레카,,0.3%,1067,,"0.3% (누적:1,067명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,29,란 12.3,,0.3%,1008,,"0.3% (누적:1,008명)"
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,30,현상수배,,0.3%,900,,0.3% (누적:900명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,31,미세스 그린 애플 매지컬 10주년 기념 라이브 ~피오르드~ 온 스크린,,0.2%,841,,0.2% (누적:841명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,32,프로젝트 헤일메리,,0.2%,757,,0.2% (누적:757명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,33,룩백,,0.2%,683,,0.2% (누적:683명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,34,MSFF2026 품행제로 2,,0.1%,488,,0.1% (누적:488명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,35,MSFF2026 인정사정 볼 것 없다 1,,0.1%,484,,0.1% (누적:484명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,36,MSFF2026 고양이를 부탁해 2,,0.1%,483,,0.1% (누적:483명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,38,MSFF2026 품행제로 1,,0.1%,476,,0.1% (누적:476명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,39,MSFF2026 질투는 나의 힘 3,,0.1%,475,,0.1% (누적:475명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,40,MSFF2026 질투는 나의 힘 1,,0.1%,472,,0.1% (누적:472명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,41,MSFF2026 인정사정 볼 것 없다 2,,0.1%,471,,0.1% (누적:471명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,42,MSFF2026 기담 1,,0.1%,468,,0.1% (누적:468명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,43,MSFF2026 기담 2,,0.1%,464,,0.1% (누적:464명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,44,MSFF2026 고양이를 부탁해 1,,0.1%,458,,0.1% (누적:458명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,45,MSFF2026 고양이를 부탁해 3,,0.1%,455,,0.1% (누적:455명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,46,아가씨,확장판,0.1%,448,,0.1% (누적:448명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,47,부기나이트,,0.1%,427,,0.1% (누적:427명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,48,악마는 프라다를 입는다 2,,0.1%,409,,0.1% (누적:409명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,49,최후의 만찬,,0.1%,396,,0.1% (누적:396명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,50,극장판 호빵맨: 세균맨과 그림책의 루룬,,0.1%,345,,0.1% (누적:345명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,51,드림하이: 쇼뮤지컬 온 스테이지,,0.1%,321,,0.1% (누적:321명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,52,로메리아,,0.1%,311,,0.1% (누적:311명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,53,이반리 장만옥,,0.1%,305,,0.1% (누적:305명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,54,남태령,,0.1%,300,,0.1% (누적:300명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,55,미세스 그린 애플 매지컬 10주년 다큐멘터리 필름 ~디 오리진~,,0.1%,295,,0.1% (누적:295명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,56,박쥐,확장판,0.1%,269,,0.1% (누적:269명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,57,복수는 나의 것,,0.1%,216,,0.1% (누적:216명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,58,미드웨이,,0.1%,214,,0.1% (누적:214명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,59,엔조,,0.1%,210,,0.1% (누적:210명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,61,맘보 점보,,0.1%,195,,0.1% (누적:195명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,62,힌드의 목소리,,0.1%,193,,0.1% (누적:193명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,63,어느 파리 택배기사의 48시간,,0.1%,178,,0.1% (누적:178명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,64,친절한 금자씨,,0.1%,175,,0.1% (누적:175명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,65,사람과 고기,,0.0%,152,,0.0% (누적:152명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,66,올드보이,,0.0%,150,,0.0% (누적:150명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,67,MSFF2026 딥 포커스: 창작자 토크,,0.0%,130,,0.0% (누적:130명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,68,올 그린스,,0.0%,129,,0.0% (누적:129명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,69,비발디와 나,,0.0%,122,,0.0% (누적:122명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,70,신세기 에반게리온 극장판 사도신생,,0.0%,119,,0.0% (누적:119명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,71,안젤름,,0.0%,105,,0.0% (누적:105명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,72,MSFF2026 폐막작 상영 1,,0.0%,104,,0.0% (누적:104명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,73,하얼빈,,0.0%,97,,0.0% (누적:97명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,74,엔드 오브 에반게리온,,0.0%,96,,0.0% (누적:96명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,75,MSFF2026 폐막작 상영 2,,0.0%,94,,0.0% (누적:94명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,76,교생실습,,0.0%,84,,0.0% (누적:84명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,77,뉴욕 라이브러리에서,,0.0%,80,,0.0% (누적:80명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,78,내 이름은,,0.0%,79,,0.0% (누적:79명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,79,내셔널 갤러리,,0.0%,77,,0.0% (누적:77명)
2026-06-05 06:16:25 KST,https://kobis.or.kr/kobis/mobile/main/findRealTicketList.do,80,여름의 카메라,,0.0%,74,,0.0% (누적:74명)
